ConstituencyName, ConstituencyCode, Party, Candidate, Votes, Percentage, PctChange
Harrogate and Knaresborough, E14000730, Conservative, Andrew Jones, 31477, 55.5, 2.7
Harrogate and Knaresborough, E14000730, Liberal Democrat, Helen Flynn, 13309, 23.5, 1.4
Harrogate and Knaresborough, E14000730, Labour, Mark Sewards, 11395, 20.1, 9.9
Harrogate and Knaresborough, E14000730, Independent, Donald Fraser, 559, 1.0, 1.0
